Feature,Importance
same_srv_rate,0.33238366
is_guest_login,0.2485811
service_ecr_i,0.10409809
src_bytes,0.034450583
service_http,0.029782947
root_shell,0.028998058
diff_srv_rate,0.025929553
num_failed_logins,0.024467148
num_compromised,0.020562032
service_eco_i,0.017714513
wrong_fragment,0.016785067
flag_RSTOS0,0.01668678
dst_host_diff_srv_rate,0.014871255
difficulty,0.013025599
service_ftp_data,0.008364169
dst_host_serror_rate,0.007503126
dst_host_same_src_port_rate,0.0053801276
dst_host_same_srv_rate,0.0039516413
flag_S0,0.0034482137
logged_in,0.0032588737
service_smtp,0.0031120742
dst_bytes,0.002664118
service_private,0.0026028685
hot,0.0025388917
dst_host_srv_serror_rate,0.0024743483
flag_RSTR,0.0022597571
flag_S1,0.0019742756
service_auth,0.0016851971
service_IRC,0.0014895598
flag_RSTO,0.0014484371
service_domain_u,0.0014029812
dst_host_rerror_rate,0.0012991731
count,0.00097654475
protocol_type_tcp,0.00091352995
rerror_rate,0.00090436573
service_finger,0.0008652553
service_X11,0.00075895875
service_domain,0.00071753375
service_imap4,0.0006919289
service_urp_i,0.00056219974
service_other,0.0005479452
srv_count,0.00052828604
service_tftp_u,0.00052512315
service_telnet,0.00049850455
num_root,0.00047111162
dst_host_srv_diff_host_rate,0.00046922808
serror_rate,0.00043476743
flag_REJ,0.0003925094
dst_host_count,0.00037887995
dst_host_srv_rerror_rate,0.00037621378
service_ftp,0.00036946108
duration,0.00035521027
flag_SH,0.00034294534
num_file_creations,0.00033227948
service_time,0.00032966948
flag_SF,0.000304215
num_access_files,0.00026440262
protocol_type_udp,0.00024111754
srv_serror_rate,0.00022748145
dst_host_srv_count,0.00021004149
service_tim_i,0.00020160389
land,0.00019979812
srv_rerror_rate,0.00014145017
num_shells,0.00010119785
srv_diff_host_rate,6.702191e-05
flag_S2,6.0820996e-05
protocol_type_icmp,4.4191864e-05
service_aol,0.0
service_Z39_50,0.0
su_attempted,0.0
num_outbound_cmds,0.0
urgent,0.0
is_host_login,0.0
service_csnet_ns,0.0
service_ctf,0.0
service_efs,0.0
service_echo,0.0
service_discard,0.0
service_daytime,0.0
service_bgp,0.0
service_courier,0.0
service_harvest,0.0
service_exec,0.0
service_hostnames,0.0
service_http_2784,0.0
service_http_443,0.0
service_http_8001,0.0
service_iso_tsap,0.0
service_klogin,0.0
service_kshell,0.0
service_gopher,0.0
service_printer,0.0
service_pop_3,0.0
service_pop_2,0.0
service_pm_dump,0.0
service_ntp_u,0.0
service_nntp,0.0
service_nnsp,0.0
service_netstat,0.0
service_name,0.0
service_netbios_ssn,0.0
service_netbios_ns,0.0
service_netbios_dgm,0.0
service_login,0.0
service_mtp,0.0
service_link,0.0
service_ldap,0.0
service_urh_i,0.0
service_sunrpc,0.0
service_supdup,0.0
service_systat,0.0
service_rje,0.0
service_shell,0.0
service_sql_net,0.0
service_ssh,0.0
service_red_i,0.0
service_remote_job,0.0
service_whois,0.0
service_vmnet,0.0
service_uucp,0.0
flag_OTH,0.0
service_uucp_path,0.0
flag_S3,0.0
